<!-- This file is auto-generated. Do not edit it manually! -->

# Koobiq Icons — Full Reference

## Format

| <name>                                   | sizes: <sizes>            | tags: <tags>                                                                                                                                                                                              | react: <import>                                                                        | angular: <import>                                                                                                                              | deprecated-aliases: <old names, if renamed> |
| ---------------------------------------- | ------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------- |
| 3-columns                                | sizes: 16, 24, 32         | tags: колонки                                                                                                                                                                                             | react: import { Icon3Columns16 } from '@koobiq/react-icons'                            | angular: import { Kbq3Columns16 } from '@koobiq/angular-icons' (selector: kbq3Columns16)                                                       |
| chart-heatmap                            | sizes: 16, 24             | tags: график, диаграмма, тепловая карта                                                                                                                                                                   | react: import { IconChartHeatmap16 } from '@koobiq/react-icons'                        | angular: import { KbqChartHeatmap16 } from '@koobiq/angular-icons' (selector: kbqChartHeatmap16)                                               |
| chart-index                              | sizes: 16, 24             | tags: data, factoid, number, график, данные, диаграмма, индекс, фактоид, число                                                                                                                            | react: import { IconChartIndex16 } from '@koobiq/react-icons'                          | angular: import { KbqChartIndex16 } from '@koobiq/angular-icons' (selector: kbqChartIndex16)                                                   |
| chart-index-line                         | sizes: 16, 24             | tags: data, график, данные, диаграмма, индекс                                                                                                                                                             | react: import { IconChartIndexLine16 } from '@koobiq/react-icons'                      | angular: import { KbqChartIndexLine16 } from '@koobiq/angular-icons' (selector: kbqChartIndexLine16)                                           |
| chart-line                               | sizes: 16, 24             | tags: graph, график, диаграмма, линия                                                                                                                                                                     | react: import { IconChartLine16 } from '@koobiq/react-icons'                           | angular: import { KbqChartLine16 } from '@koobiq/angular-icons' (selector: kbqChartLine16)                                                     |
| chart-line-multiple                      | sizes: 16, 24, 32, 48     | tags: график, диаграмма, линии, несколько                                                                                                                                                                 | react: import { IconChartLineMultiple16 } from '@koobiq/react-icons'                   | angular: import { KbqChartLineMultiple16 } from '@koobiq/angular-icons' (selector: kbqChartLineMultiple16)                                     |
| chart-network                            | sizes: 16, 24             | tags: vulner, vulnerability, граф, график, диаграмма связей, сеть, уязвимость                                                                                                                             | react: import { IconChartNetwork16 } from '@koobiq/react-icons'                        | angular: import { KbqChartNetwork16 } from '@koobiq/angular-icons' (selector: kbqChartNetwork16)                                               |
| chart-pie                                | sizes: 16, 24             | tags: graph, график, диаграмма, пирог                                                                                                                                                                     | react: import { IconChartPie16 } from '@koobiq/react-icons'                            | angular: import { KbqChartPie16 } from '@koobiq/angular-icons' (selector: kbqChartPie16)                                                       |
| chart-stacked-bar-horizontal             | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconChartStackedBarHorizontal16 } from '@koobiq/react-icons'           | angular: import { KbqChartStackedBarHorizontal16 } from '@koobiq/angular-icons' (selector: kbqChartStackedBarHorizontal16)                     |
| chart-stacked-bar-vertical               | sizes: 16, 24             | tags: columns, вертикальный, диаграмма, колонны, столбцы                                                                                                                                                  | react: import { IconChartStackedBarVertical16 } from '@koobiq/react-icons'             | angular: import { KbqChartStackedBarVertical16 } from '@koobiq/angular-icons' (selector: kbqChartStackedBarVertical16)                         |
| check                                    | sizes: 16, 24, 48         | tags: confirm, mark, verify, верифицировать, отметить, подтверждение, проверить                                                                                                                           | react: import { IconCheck16 } from '@koobiq/react-icons'                               | angular: import { KbqCheck16 } from '@koobiq/angular-icons' (selector: kbqCheck16)                                                             |
| check-badge-auto                         | sizes: 16, 24             | tags: verify, автоматически, верифицировать, проверить                                                                                                                                                    | react: import { IconCheckBadgeAuto16 } from '@koobiq/react-icons'                      | angular: import { KbqCheckBadgeAuto16 } from '@koobiq/angular-icons' (selector: kbqCheckBadgeAuto16)                                           |
| check-double                             | sizes: 16, 24             | tags: confirm, delivered, verified, verify, верифицировать, двойной, подтверждение, проверено, проверить, прочитано                                                                                       | react: import { IconCheckDouble16 } from '@koobiq/react-icons'                         | angular: import { KbqCheckDouble16 } from '@koobiq/angular-icons' (selector: kbqCheckDouble16)                                                 |
| check-s                                  | sizes: 16, 24             | tags: —                                                                                                                                                                                                   | react: import { IconCheckS16 } from '@koobiq/react-icons'                              | angular: import { KbqCheckS16 } from '@koobiq/angular-icons' (selector: kbqCheckS16)                                                           |
| checkbox-multiple                        | sizes: 16, 24             | tags: options, несколько, опции, чекбокс                                                                                                                                                                  | react: import { IconCheckboxMultiple16 } from '@koobiq/react-icons'                    | angular: import { KbqCheckboxMultiple16 } from '@koobiq/angular-icons' (selector: kbqCheckboxMultiple16)                                       |
| chevron-double-down                      | sizes: 16, 24             | tags: angle, large, вниз, двойной, угол, шеврон                                                                                                                                                           | react: import { IconChevronDoubleDown16 } from '@koobiq/react-icons'                   | angular: import { KbqChevronDoubleDown16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleDown16)                                     |
| chevron-double-down-s                    | sizes: 16, 24             | tags: angle, small, вниз, двойной, угол, шеврон                                                                                                                                                           | react: import { IconChevronDoubleDownS16 } from '@koobiq/react-icons'                  | angular: import { KbqChevronDoubleDownS16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleDownS16)                                   |
| chevron-double-left                      | sizes: 16, 24             | tags: angle, arrow, large, большой, влево, двойная, двойной, стрелка, шеврон                                                                                                                              | react: import { IconChevronDoubleLeft16 } from '@koobiq/react-icons'                   | angular: import { KbqChevronDoubleLeft16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleLeft16)                                     |
| chevron-double-left-s                    | sizes: 16, 24             | tags: angle, small, влево, двойной, маленький, угол, шеврон                                                                                                                                               | react: import { IconChevronDoubleLeftS16 } from '@koobiq/react-icons'                  | angular: import { KbqChevronDoubleLeftS16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleLeftS16)                                   |
| chevron-double-right                     | sizes: 16, 24             | tags: angle, large, большой, вправо, двойной, угол, шеврон                                                                                                                                                | react: import { IconChevronDoubleRight16 } from '@koobiq/react-icons'                  | angular: import { KbqChevronDoubleRight16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleRight16)                                   |
| chevron-double-right-s                   | sizes: 16, 24             | tags: angle, small, вправо, двойной, маленький, угол, шеврон                                                                                                                                              | react: import { IconChevronDoubleRightS16 } from '@koobiq/react-icons'                 | angular: import { KbqChevronDoubleRightS16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleRightS16)                                 |
| chevron-double-up                        | sizes: 16, 24             | tags: angle, large, вверх, двойной, угол, шеврон                                                                                                                                                          | react: import { IconChevronDoubleUp16 } from '@koobiq/react-icons'                     | angular: import { KbqChevronDoubleUp16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleUp16)                                         |
| chevron-double-up-s                      | sizes: 16, 24             | tags: angle, small, вверх, двойной, угол, шеврон                                                                                                                                                          | react: import { IconChevronDoubleUpS16 } from '@koobiq/react-icons'                    | angular: import { KbqChevronDoubleUpS16 } from '@koobiq/angular-icons' (selector: kbqChevronDoubleUpS16)                                       |
| chevron-down                             | sizes: 16, 24, 32         | tags: angle, large, большой, вниз, угол, шеврон                                                                                                                                                           | react: import { IconChevronDown16 } from '@koobiq/react-icons'                         | angular: import { KbqChevronDown16 } from '@koobiq/angular-icons' (selector: kbqChevronDown16)                                                 |
| chevron-down-s                           | sizes: 16, 24             | tags: angle, small, вниз, маленький, шеврон                                                                                                                                                               | react: import { IconChevronDownS16 } from '@koobiq/react-icons'                        | angular: import { KbqChevronDownS16 } from '@koobiq/angular-icons' (selector: kbqChevronDownS16)                                               |
| chevron-left                             | sizes: 16, 24, 32         | tags: angle, large, большой, влево, угол, шеврон                                                                                                                                                          | react: import { IconChevronLeft16 } from '@koobiq/react-icons'                         | angular: import { KbqChevronLeft16 } from '@koobiq/angular-icons' (selector: kbqChevronLeft16)                                                 |
| chevron-left-s                           | sizes: 16, 24             | tags: angle, small, влево, маленький, шеврон                                                                                                                                                              | react: import { IconChevronLeftS16 } from '@koobiq/react-icons'                        | angular: import { KbqChevronLeftS16 } from '@koobiq/angular-icons' (selector: kbqChevronLeftS16)                                               |
| chevron-right                            | sizes: 16, 24, 32         | tags: angle, large, большой, вправо, угол, шеврон                                                                                                                                                         | react: import { IconChevronRight16 } from '@koobiq/react-icons'                        | angular: import { KbqChevronRight16 } from '@koobiq/angular-icons' (selector: kbqChevronRight16)                                               |
| chevron-right-s                          | sizes: 16, 24             | tags: angle, small, вправо, маленький, шеврон                                                                                                                                                             | react: import { IconChevronRightS16 } from '@koobiq/react-icons'                       | angular: import { KbqChevronRightS16 } from '@koobiq/angular-icons' (selector: kbqChevronRightS16)                                             |
| chevron-up                               | sizes: 16, 24, 32         | tags: angle, large, большой, вверх, наверх, угол, шеврон                                                                                                                                                  | react: import { IconChevronUp16 } from '@koobiq/react-icons'                           | angular: import { KbqChevronUp16 } from '@koobiq/angular-icons' (selector: kbqChevronUp16)                                                     |
| chevron-up-s                             | sizes: 16, 24             | tags: angle, small, вверх, маленький, наверх, шеврон                                                                                                                                                      | react: import { IconChevronUpS16 } from '@koobiq/react-icons'                          | angular: import { KbqChevronUpS16 } from '@koobiq/angular-icons' (selector: kbqChevronUpS16)                                                   |
| chevrons-compress                        | sizes: 16, 24             | tags: collapse, minimize, коллапс, минимизировать, свернуть, сжать, уменьшить                                                                                                                             | react: import { IconChevronsCompress16 } from '@koobiq/react-icons'                    | angular: import { KbqChevronsCompress16 } from '@koobiq/angular-icons' (selector: kbqChevronsCompress16)                                       |                                             | deprecated-aliases: compress (renamed — do not use, replace with "chevrons-compress")                                            |
| chevrons-down-up                         | sizes: 16, 24             | tags: collapse, развернуть, расширить, свернуть, увеличить, уменьшить, шевроны                                                                                                                            | react: import { IconChevronsDownUp16 } from '@koobiq/react-icons'                      | angular: import { KbqChevronsDownUp16 } from '@koobiq/angular-icons' (selector: kbqChevronsDownUp16)                                           |
| chevrons-down-up-s                       | sizes: 16, 24             | tags: collapse, small, развернуть, расширить, увеличить, шевроны                                                                                                                                          | react: import { IconChevronsDownUpS16 } from '@koobiq/react-icons'                     | angular: import { KbqChevronsDownUpS16 } from '@koobiq/angular-icons' (selector: kbqChevronsDownUpS16)                                         |
| chevrons-expand                          | sizes: 16, 24             | tags: expand, развернуть, расширить, увеличить, шевроны                                                                                                                                                   | react: import { IconChevronsExpand16 } from '@koobiq/react-icons'                      | angular: import { KbqChevronsExpand16 } from '@koobiq/angular-icons' (selector: kbqChevronsExpand16)                                           |
| chevrons-up-down                         | sizes: 16, 24             | tags: expand, развернуть, расширить, увеличить, шевроны                                                                                                                                                   | react: import { IconChevronsUpDown16 } from '@koobiq/react-icons'                      | angular: import { KbqChevronsUpDown16 } from '@koobiq/angular-icons' (selector: kbqChevronsUpDown16)                                           |
| chevrons-up-down-s                       | sizes: 16, 24             | tags: expand, small, развернуть, расширить, увеличить, шевроны                                                                                                                                            | react: import { IconChevronsUpDownS16 } from '@koobiq/react-icons'                     | angular: import { KbqChevronsUpDownS16 } from '@koobiq/angular-icons' (selector: kbqChevronsUpDownS16)                                         |
| circle                                   | sizes: 16, 24             | tags: large, shape, большой, круг, форма                                                                                                                                                                  | react: import { IconCircle16 } from '@koobiq/react-icons'                              | angular: import { KbqCircle16 } from '@koobiq/angular-icons' (selector: kbqCircle16)                                                           |
| circle-arrow-down                        | sizes: 16, 24             | tags: вниз, круг, стрелка                                                                                                                                                                                 | react: import { IconCircleArrowDown16 } from '@koobiq/react-icons'                     | angular: import { KbqCircleArrowDown16 } from '@koobiq/angular-icons' (selector: kbqCircleArrowDown16)                                         |                                             | deprecated-aliases: arrow-circle-down (renamed — do not use, replace with "circle-arrow-down")                                   |
| circle-arrow-left                        | sizes: 16, 24             | tags: влево, круг, стрелка                                                                                                                                                                                | react: import { IconCircleArrowLeft16 } from '@koobiq/react-icons'                     | angular: import { KbqCircleArrowLeft16 } from '@koobiq/angular-icons' (selector: kbqCircleArrowLeft16)                                         |                                             | deprecated-aliases: arrow-circle-left (renamed — do not use, replace with "circle-arrow-left")                                   |
| circle-arrow-right                       | sizes: 16, 24             | tags: вправо, круг, стрелка                                                                                                                                                                               | react: import { IconCircleArrowRight16 } from '@koobiq/react-icons'                    | angular: import { KbqCircleArrowRight16 } from '@koobiq/angular-icons' (selector: kbqCircleArrowRight16)                                       |                                             | deprecated-aliases: arrow-circle-right (renamed — do not use, replace with "circle-arrow-right")                                 |
| circle-arrow-right-dot-o                 | sizes: 16, 24             | tags: circle, dot, file, outline, partial, passed, right, вправо, контур, круг, пройден, стрелка, точка, файл, частично                                                                                   | react: import { IconCircleArrowRightDotO16 } from '@koobiq/react-icons'                | angular: import { KbqCircleArrowRightDotO16 } from '@koobiq/angular-icons' (selector: kbqCircleArrowRightDotO16)                               |                                             | deprecated-aliases: arrow-right-circle-dot-o (renamed — do not use, replace with "circle-arrow-right-dot-o")                     |
| circle-arrow-up                          | sizes: 16, 24             | tags: вверх, круг, стрелка                                                                                                                                                                                | react: import { IconCircleArrowUp16 } from '@koobiq/react-icons'                       | angular: import { KbqCircleArrowUp16 } from '@koobiq/angular-icons' (selector: kbqCircleArrowUp16)                                             |                                             | deprecated-aliases: arrow-circle-up (renamed — do not use, replace with "circle-arrow-up")                                       |
| circle-bolt                              | sizes: 16, 24             | tags: critical, lightning, power, security, vulnerability, безопасность, круг, молния, уровень уязвимости критический, уязвимость, энергия                                                                | react: import { IconCircleBolt16 } from '@koobiq/react-icons'                          | angular: import { KbqCircleBolt16 } from '@koobiq/angular-icons' (selector: kbqCircleBolt16)                                                   |                                             | deprecated-aliases: bolt-circle (renamed — do not use, replace with "circle-bolt")                                               |
| circle-check                             | sizes: 16, 24             | tags: verify, верифицировать, круг, проверить                                                                                                                                                             | react: import { IconCircleCheck16 } from '@koobiq/react-icons'                         | angular: import { KbqCircleCheck16 } from '@koobiq/angular-icons' (selector: kbqCircleCheck16)                                                 |                                             | deprecated-aliases: check-circle (renamed — do not use, replace with "circle-check")                                             |
| circle-chevron-down                      | sizes: 16, 24             | tags: angle, вниз, круг, угол, шеврон                                                                                                                                                                     | react: import { IconCircleChevronDown16 } from '@koobiq/react-icons'                   | angular: import { KbqCircleChevronDown16 } from '@koobiq/angular-icons' (selector: kbqCircleChevronDown16)                                     |                                             | deprecated-aliases: chevron-circle-down (renamed — do not use, replace with "circle-chevron-down")                               |
| circle-chevron-left                      | sizes: 16, 24             | tags: angle, влево, круг, угол, шеврон                                                                                                                                                                    | react: import { IconCircleChevronLeft16 } from '@koobiq/react-icons'                   | angular: import { KbqCircleChevronLeft16 } from '@koobiq/angular-icons' (selector: kbqCircleChevronLeft16)                                     |                                             | deprecated-aliases: chevron-circle-left (renamed — do not use, replace with "circle-chevron-left")                               |
| circle-chevron-right                     | sizes: 16, 24             | tags: angle, вправо, круг, угол, шеврон                                                                                                                                                                   | react: import { IconCircleChevronRight16 } from '@koobiq/react-icons'                  | angular: import { KbqCircleChevronRight16 } from '@koobiq/angular-icons' (selector: kbqCircleChevronRight16)                                   |                                             | deprecated-aliases: chevron-circle-right (renamed — do not use, replace with "circle-chevron-right")                             |
| circle-chevron-up                        | sizes: 16, 24             | tags: angle, вверх, круг, угол, шеврон                                                                                                                                                                    | react: import { IconCircleChevronUp16 } from '@koobiq/react-icons'                     | angular: import { KbqCircleChevronUp16 } from '@koobiq/angular-icons' (selector: kbqCircleChevronUp16)                                         |                                             | deprecated-aliases: chevron-circle-up (renamed — do not use, replace with "circle-chevron-up")                                   |
| circle-dot                               | sizes: 16, 24             | tags: partial, shape, круг, точка, форма                                                                                                                                                                  | react: import { IconCircleDot16 } from '@koobiq/react-icons'                           | angular: import { KbqCircleDot16 } from '@koobiq/angular-icons' (selector: kbqCircleDot16)                                                     |
| circle-dot-o                             | sizes: 16, 24             | tags: dot, large, outline, partial, shape, большой, контур, круг, точка, форма, частично                                                                                                                  | react: import { IconCircleDotO16 } from '@koobiq/react-icons'                          | angular: import { KbqCircleDotO16 } from '@koobiq/angular-icons' (selector: kbqCircleDotO16)                                                   |
| circle-ellipsis-horizontal-o             | sizes: 16, 24             | tags: dots, menu, more, outline, горизонтально, еще, контур, круг, меню, многоточие, точки                                                                                                                | react: import { IconCircleEllipsisHorizontalO16 } from '@koobiq/react-icons'           | angular: import { KbqCircleEllipsisHorizontalO16 } from '@koobiq/angular-icons' (selector: kbqCircleEllipsisHorizontalO16)                     |                                             | deprecated-aliases: ellipsis-horizontal-circle-o (renamed — do not use, replace with "circle-ellipsis-horizontal-o")             |
| circle-exclamation                       | sizes: 16, 24             | tags: alert, attention, warning, внимание, восклицательный, круг, предупреждение                                                                                                                          | react: import { IconCircleExclamation16 } from '@koobiq/react-icons'                   | angular: import { KbqCircleExclamation16 } from '@koobiq/angular-icons' (selector: kbqCircleExclamation16)                                     |                                             | deprecated-aliases: exclamation-circle (renamed — do not use, replace with "circle-exclamation")                                 |
| circle-half                              | sizes: 16, 24             | tags: 3, importance-3, number, shape, six, stroke, важность, значение, круг, половина, форма, шесть                                                                                                       | react: import { IconCircleHalf16 } from '@koobiq/react-icons'                          | angular: import { KbqCircleHalf16 } from '@koobiq/angular-icons' (selector: kbqCircleHalf16)                                                   |
| circle-info                              | sizes: 16, 24             | tags: information, информация, круг                                                                                                                                                                       | react: import { IconCircleInfo16 } from '@koobiq/react-icons'                          | angular: import { KbqCircleInfo16 } from '@koobiq/angular-icons' (selector: kbqCircleInfo16)                                                   |                                             | deprecated-aliases: info-circle (renamed — do not use, replace with "circle-info")                                               |
| circle-location-arrow-o                  | sizes: 16, 24             | tags: geodata, triangle, вниз, геоданные, локация, местонахождение, расположение, треугольный, шеврон                                                                                                     | react: import { IconCircleLocationArrowO16 } from '@koobiq/react-icons'                | angular: import { KbqCircleLocationArrowO16 } from '@koobiq/angular-icons' (selector: kbqCircleLocationArrowO16)                               |                                             | deprecated-aliases: location-arrow-circle-o (renamed — do not use, replace with "circle-location-arrow-o")                       |
| circle-minus                             | sizes: 16, 24             | tags: ignore, large, subtract, большой, вычесть, игнорировать, круг, минус                                                                                                                                | react: import { IconCircleMinus16 } from '@koobiq/react-icons'                         | angular: import { KbqCircleMinus16 } from '@koobiq/angular-icons' (selector: kbqCircleMinus16)                                                 |                                             | deprecated-aliases: minus-circle (renamed — do not use, replace with "circle-minus")                                             |
| circle-minus-o                           | sizes: 16, 24             | tags: ignore, outline, игнорировать, контур, круг, минус                                                                                                                                                  | react: import { IconCircleMinusO16 } from '@koobiq/react-icons'                        | angular: import { KbqCircleMinusO16 } from '@koobiq/angular-icons' (selector: kbqCircleMinusO16)                                               |                                             | deprecated-aliases: minus-circle-o (renamed — do not use, replace with "circle-minus-o")                                         |
| circle-minus-s                           | sizes: 16, 24             | tags: small, subtract, вычесть, круг, маленький, минус                                                                                                                                                    | react: import { IconCircleMinusS16 } from '@koobiq/react-icons'                        | angular: import { KbqCircleMinusS16 } from '@koobiq/angular-icons' (selector: kbqCircleMinusS16)                                               |                                             | deprecated-aliases: minus-circle-s (renamed — do not use, replace with "circle-minus-s")                                         |
| circle-o                                 | sizes: 16, 24             | tags: empty, large, outline, shape, большой, контур, круг, пустой, форма                                                                                                                                  | react: import { IconCircleO16 } from '@koobiq/react-icons'                             | angular: import { KbqCircleO16 } from '@koobiq/angular-icons' (selector: kbqCircleO16)                                                         |
| circle-pause                             | sizes: 16, 24             | tags: pause, круг, пауза                                                                                                                                                                                  | react: import { IconCirclePause16 } from '@koobiq/react-icons'                         | angular: import { KbqCirclePause16 } from '@koobiq/angular-icons' (selector: kbqCirclePause16)                                                 |                                             | deprecated-aliases: pause-circle (renamed — do not use, replace with "circle-pause")                                             |
| circle-play                              | sizes: 16, 24             | tags: start, воспроизвести, круг, начать                                                                                                                                                                  | react: import { IconCirclePlay16 } from '@koobiq/react-icons'                          | angular: import { KbqCirclePlay16 } from '@koobiq/angular-icons' (selector: kbqCirclePlay16)                                                   |                                             | deprecated-aliases: play-circle (renamed — do not use, replace with "circle-play")                                               |
| circle-plus                              | sizes: 16, 24             | tags: add, large, большой, добавить, круг, плюс                                                                                                                                                           | react: import { IconCirclePlus16 } from '@koobiq/react-icons'                          | angular: import { KbqCirclePlus16 } from '@koobiq/angular-icons' (selector: kbqCirclePlus16)                                                   |                                             | deprecated-aliases: plus-circle (renamed — do not use, replace with "circle-plus")                                               |
| circle-plus-s                            | sizes: 16, 24             | tags: add, small, добавить, круг, маленький, плюс                                                                                                                                                         | react: import { IconCirclePlusS16 } from '@koobiq/react-icons'                         | angular: import { KbqCirclePlusS16 } from '@koobiq/angular-icons' (selector: kbqCirclePlusS16)                                                 |                                             | deprecated-aliases: plus-circle-s (renamed — do not use, replace with "circle-plus-s")                                           |
| circle-question                          | sizes: 16, 24             | tags: help, вопрос, круг, помощь                                                                                                                                                                          | react: import { IconCircleQuestion16 } from '@koobiq/react-icons'                      | angular: import { KbqCircleQuestion16 } from '@koobiq/angular-icons' (selector: kbqCircleQuestion16)                                           |                                             | deprecated-aliases: question-circle (renamed — do not use, replace with "circle-question")                                       |
| circle-question-o                        | sizes: 32                 | tags: help, вопрос, контур, помощь                                                                                                                                                                        | react: import { IconCircleQuestionO32 } from '@koobiq/react-icons'                     | angular: import { KbqCircleQuestionO32 } from '@koobiq/angular-icons' (selector: kbqCircleQuestionO32)                                         |                                             | deprecated-aliases: question-circle-o (renamed — do not use, replace with "circle-question-o")                                   |
| circle-stop                              | sizes: 16, 24             | tags: круг, остановить                                                                                                                                                                                    | react: import { IconCircleStop16 } from '@koobiq/react-icons'                          | angular: import { KbqCircleStop16 } from '@koobiq/angular-icons' (selector: kbqCircleStop16)                                                   |                                             | deprecated-aliases: stop-circle (renamed — do not use, replace with "circle-stop")                                               |
| circle-telegram                          | sizes: 16, 24             | tags: message, messenger, в круге, мессенджер, сообщение, телеграмм                                                                                                                                       | react: import { IconCircleTelegram16 } from '@koobiq/react-icons'                      | angular: import { KbqCircleTelegram16 } from '@koobiq/angular-icons' (selector: kbqCircleTelegram16)                                           |                                             | deprecated-aliases: telegram-circle (renamed — do not use, replace with "circle-telegram")                                       |
| circle-xmark                             | sizes: 16, 24             | tags: clear, close, cross, large, большой, закрыть, крестик, круг, очистить                                                                                                                               | react: import { IconCircleXmark16 } from '@koobiq/react-icons'                         | angular: import { KbqCircleXmark16 } from '@koobiq/angular-icons' (selector: kbqCircleXmark16)                                                 |                                             | deprecated-aliases: xmark-circle (renamed — do not use, replace with "circle-xmark")                                             |
| circle-xmark-s                           | sizes: 16, 24             | tags: remove, small, крестик, круг, маленький, удалить                                                                                                                                                    | react: import { IconCircleXmarkS16 } from '@koobiq/react-icons'                        | angular: import { KbqCircleXmarkS16 } from '@koobiq/angular-icons' (selector: kbqCircleXmarkS16)                                               |                                             | deprecated-aliases: xmark-circle-s (renamed — do not use, replace with "circle-xmark-s")                                         |
| circle-xs                                | sizes: 16, 24             | tags: number, shape, six, круг, форма, шесть                                                                                                                                                              | react: import { IconCircleXs16 } from '@koobiq/react-icons'                            | angular: import { KbqCircleXs16 } from '@koobiq/angular-icons' (selector: kbqCircleXs16)                                                       |
| clipboard-check                          | sizes: 16, 24             | tags: checkmark, cutting board, planner, task, to-do, галочка, задача, клипборд, планировщик, планшет, разделочная доска                                                                                  | react: import { IconClipboardCheck16 } from '@koobiq/react-icons'                      | angular: import { KbqClipboardCheck16 } from '@koobiq/angular-icons' (selector: kbqClipboardCheck16)                                           |
| clipboard-check-o                        | sizes: 24                 | tags: checkmark, cutting board, planner, task, to-do, галочка, задача, клипборд, планировщик, планшет, разделочная доска                                                                                  | react: import { IconClipboardCheckO24 } from '@koobiq/react-icons'                     | angular: import { KbqClipboardCheckO24 } from '@koobiq/angular-icons' (selector: kbqClipboardCheckO24)                                         |
| clock                                    | sizes: 16, 24             | tags: time, watch, время, наручные, часы                                                                                                                                                                  | react: import { IconClock16 } from '@koobiq/react-icons'                               | angular: import { KbqClock16 } from '@koobiq/angular-icons' (selector: kbqClock16)                                                             |
| clock-badge-linux                        | sizes: 16, 24             | tags: session, бейдж, линукс, сессия, часы                                                                                                                                                                | react: import { IconClockBadgeLinux16 } from '@koobiq/react-icons'                     | angular: import { KbqClockBadgeLinux16 } from '@koobiq/angular-icons' (selector: kbqClockBadgeLinux16)                                         |
